boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Brooklyn,Boerum Park,10086,0,0.92
Manhattan,Booker T. Washington Playground,11912,0,1.44
Bronx,Boone Slope,5850,0,0.03
Bronx,Boston Garden,2178,0,0.02
Manhattan,Bowling Green,7963,0,1.02
Queens,Bowne Park,18491,0,11.79
Queens,Bowne Playground,2256,0,1.28
Manhattan,Bradhurst Ave Garden,0,0,0.09
Staten Island,Bradys Pond Park,2301,0,6.4
Queens,Brant Point Wildlife Sanctuary,299,0,19.56
Queens,Breininger Park,31581,0,3.4
Brooklyn,Breukelen Ballfields,74031,0,16.16
Brooklyn,Brevoort Playground,30864,0,1.49
Queens,Briarwood Playground,8723,0,1.3
Queens,Bridge And Tunnel Park,1989,0,0.32
Brooklyn,Bridge Park (Brooklyn),29058,0,2.12
Bronx,Bridge Park,4559,0,7.16
Brooklyn,Bridge Park 3,23196,0,1.93
Bronx,Bridge Playground,7831,0,0.63
Brooklyn,Brighton Playground,39719,0,1.23
Queens,Brinkerhoff Mall,2909,0,0.4
Manhattan,Brisas Del Caribe,5,0,0.06
Brooklyn,Brizzi Playground,12125,0,0.65
Queens,Broad Channel American Park,7571,0,18.77
Queens,Broad Channel Park,9588,0,1.55
Queens,Broad Channel Veteran's Park,2626,0,0.57
Queens,Broad Channel Wetlands,0,0,37.95
Manhattan,Broadway Malls,71245,0,5.61
Manhattan,Broadway Malls,36704,0,2.2
Manhattan,Broadway Malls,19225,0,1.3
Manhattan,Broadway Malls,10988,0,1.14
Bronx,Bronx Park,353815,0,718.37
Bronx,Bronx River Parkway,69784,0,206.72
Bronx,Brook Park,1807,0,0.76
Staten Island,Brookfield Park,22962,0,258.72
Brooklyn,Brooklyn Academy Of Music,0,0,0.97
Brooklyn,Brooklyn Bears Carlton Ave Garden,0,0,0.14
Brooklyn,Brooklyn Bears Rockwell Pl Garden,169,0,0.08
Brooklyn,Brooklyn Botanic Garden,0,0,47.57
Brooklyn,Brooklyn Bridge Park,13008,1482623,21.38
Manhattan,Brooklyn Bridge Park,13008,1482623,21.38
Brooklyn,Brooklyn Heights Promenade,729,0,0.21
Brooklyn,Brooklyn Heights Promenade,9,0,0.32
Brooklyn,Brooklyn Heights Promenade,0,0,0.11
Brooklyn,Brooklyn Heights Promenade,0,0,0.09
Brooklyn,Brooklyn Heights Promenade,0,0,0.08
Brooklyn,Brooklyn Museum,0,0,12.66
Queens,Brookville Park,105713,0,89.95
Brooklyn,Brower Park,69883,0,7.05
Brooklyn,Brownsville Community Farm,0,0,0.12
Brooklyn,Brownsville Green,0,0,0.03
Brooklyn,Brownsville Playground,12269,0,3.02
Bronx,Bruckner Playground,6951,0,1.05
Bronx,Brust Park,6365,0,1.79
Bronx,Bryan Park,5242,0,0.15
Bronx,Bryant Hill Garden,0,0,0.34
Manhattan,Bryant Park,2408,8584181,9.6
Bronx,Bryant Triangle,6528,0,0.17
Brooklyn,Bscah Urban Farm,0,0,0.18
Bronx,Bufano Park,48926,0,1.9
Staten Island,Bunker Ponds Park,273,0,36.69
Bronx,Burns Playground,18734,0,1.62
Manhattan,Bushman Steps,10816,0,0.08
Brooklyn,Bushwick Inlet Park,84543,0,35.53
Manhattan,Bushwick Inlet Park,84543,0,35.53
Brooklyn,Bushwick Playground,80506,0,1.29
Brooklyn,Bushwick Playground,38950,0,2.78
Brooklyn,Butterfly Gardens,2182,0,0.44
Brooklyn,Cadman Plaza Park,39628,0,10.38
Brooklyn,Callahan-Kelly Playground,23706,0,3.25
Queens,Calvary Monument,455,0,0.05
Brooklyn,Calvert Vaux Park,269037,0,85.53
Queens,Cambria Playground,35987,0,4.64
Manhattan,Campos Garden,5,0,0.12
Manhattan,Canal Park,3663,0,0.67
Brooklyn,Canarsie Park,623409,0,132.2
Queens,Captain Dermody Triangle,2840,0,0.19
Manhattan,Captain Jacob Joseph Playground,4152,0,0.14
Brooklyn,"Captain John Mckenna, Iv Park",15802,0,0.48
Bronx,Captain Rivera Playground,11510,0,0.99
Queens,Captain Tilly Park,32858,0,9.16
Queens,Cardozo Playground,5722,0,2.1
Manhattan,Carl Schurz Park,330542,0,14.94
Queens,Carlos R. Lillo Park,3462,0,0.1
Staten Island,Carlton Park,5855,0,2.29
Staten Island,Carlton Park,76,0,1.25
Manhattan,Carmansville Playground,8436,0,0.57
Manhattan,Carolina Garden,0,0,0.06
Brooklyn,Carroll Park,63368,0,1.87
Brooklyn,Carter G. Woodson Children's Park,9596,0,0.92
Brooklyn,Carver Playground,41979,0,0.96
Bronx,Caserta Playground,24217,0,1.
Bronx,Castle Hill Little League Field,3335,0,1.71
Bronx,Castle Hill Park,6916,0,8.83
Bronx,Castle Hill Playground,23965,0,1.37
Queens,Castlewood Playground,19520,0,2.06
Queens,Catharine Turner Richardson Park,4495,0,0.1
Manhattan,Catherine Slip Malls,3766,0,0.25
Queens,Catholic War Veterans Square,2525,0,0.01
Brooklyn,Causa Festival Garden,0,0,0.21
Queens,Cedar Grove Playground,2523,0,0.62
Bronx,Cedar Playground,13867,0,1.8
Brooklyn,Cedar Tree Garden,0,0,0.18
Manhattan,Central Park,446300,24717743,840.64
Queens,Centreville Playground,12788,0,2.1
Bronx,Centro Cultural Garden,0,0,0.18
Brooklyn,Century Playground,46776,0,2.28
Manhattan,Cep Community Garden,0,0,0.06
Queens,Challenge Playground,6856,0,2.04
Brooklyn,Change Garden,0,0,0.13
Queens,Chappetto Square,6707,0,1.23
Brooklyn,Charlie's Place,11111,0,1.26
Bronx,Charlton Garden,5109,0,0.49
