boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Manhattan,Mill Rock Park,0,0,8.64
Bronx,Millbrook Playground,13570,0,1.05
Manhattan,Minetta Green,3725,0,0.06
Manhattan,Minetta Playground,6285,0,0.21
Manhattan,Minetta Triangle,3808,0,0.08
Manhattan,Miracle Garden (Manhattan),5,0,0.12
Bronx,Miracle Garden,0,0,0.11
Manhattan,Mitchel Square,8422,0,0.77
Manhattan,Mobilization For Change,0,0,0.04
Bronx,Model T Senior Citizen's Garden,0,0,0.27
Brooklyn,Moffat Garden,0,0,0.04
Bronx,Mohegan Triangle,4392,0,0.1
Brooklyn,Monsignor Crawford Field,3791,0,2.29
Manhattan,Monsignor Kett Playground,28127,0,1.
Bronx,Monsignor Raul Del Valle Square,11541,0,0.42
Queens,Montbellier Park,20720,0,4.43
Manhattan,Montefiore Square,15138,0,0.34
Queens,Moore Homestead Playground,81846,0,1.98
Manhattan,Moore Playground,44167,0,0.77
Bronx,Morgan Playground,19753,0,0.78
Manhattan,Morningside Park,122153,0,29.89
Bronx,Morris Garden,8202,0,0.44
Bronx,Morris Mesa,5397,0,0.15
Manhattan,Morris-Jumel Ecological Education Garden,1482,0,0.1
Bronx,Mosaic Success Garden,65,0,0.29
Bronx,Mosholu Parkway,128318,0,80.94
Bronx,Mosholu Playground,20413,0,0.41
Brooklyn,Mother Cabrini Park,7342,0,0.47
Queens,Motor Parkway,257,0,13.89
Bronx,Mott Playground,18388,0,0.98
Bronx,Mount Eden Malls,12762,0,1.68
Bronx,Mount Hope Garden,3939,0,0.28
Bronx,Mount Hope Playground,12312,0,0.7
Brooklyn,Mount Prospect Park,45839,0,7.79
Brooklyn,Msgr. Mcgolrick Park,35876,0,9.13
Brooklyn,Mt. Carmel Triangle,4098,0,0.1
Bronx,Mullaly Park,113374,15000,15.05
Bronx,Muller Triangle,952,0,0.04
Manhattan,Murphy Brothers Playground,10591,0,1.28
Bronx,Murphy Triangle,4252,0,0.1
Queens,Murray Hill Playground,5329,0,1.21
Queens,Murray Playground,68260,0,2.52
Brooklyn,Mw United Orient Grand Lodge,0,0,0.19
Queens,Myrtle Avenue Clemens Triangle,896,0,0.01
Queens,Nakks Malls,663,0,0.19
Staten Island,Naples Playground,10267,0,3.47
Queens,Nassau Mall,1889,0,0.84
Queens,Nassau Mall South,1744,0,0.83
Manhattan,Nathan Straus Playground,7362,0,0.85
Queens,Nathan Weidenbaum Playground,8229,0,0.73
Brooklyn,Nautilus Playground,22329,0,1.38
Brooklyn,Nehemiah Park,14706,0,1.65
Brooklyn,Nehemiah Ten Garden,0,0,0.28
Brooklyn,Neighborhood Community Garden,0,0,0.07
Manhattan,Neighbors Of Vega Baja,0,0,0.07
Brooklyn,Nellie Bly Park,13,0,1.06
Bronx,Nelson Playground,18498,0,1.22
Queens,Neponsit Mall,2723,0,0.76
Brooklyn,Neptune Playground,6154,0,1.24
Manhattan,New 123Rd St Block Association Garden,0,0,0.14
Staten Island,New Dorp Park,1586,0,0.79
Brooklyn,New Vision Garden,0,0,0.32
Brooklyn,Newport Playground,17734,0,0.92
Brooklyn,Newtown Barge Playground,5088,0,6.24
Queens,Newtown Playground,15170,0,0.7
Brooklyn,Nicholas Naquan Heyward Jr. Park,26231,0,1.04
Queens,Nine Heroes Plaza,2219,0,0.02
Bronx,Noble Playground,36859,0,3.21
Queens,Norelli-Hargreaves Memorial Triangle,879,0,0.04
Queens,Norelli-Hargreaves Playground,6464,0,1.43
Brooklyn,North5th Street Pier And Park,28884,0,0.85
Manhattan,North5th Street Pier And Park,28884,0,0.85
Bronx,NorthBrother Island,0,0,30.4
Staten Island,Northerleigh Park,10281,0,3.96
Queens,Northern Playground,37765,0,1.72
Brooklyn,NorthPacific Playground,14175,0,0.16
Queens,NorthRochdale Playground,23383,0,1.07
Staten Island,NorthShore Esplanade,2640,0,1.52
Staten Island,NorthShore Esplanade,2291,0,0.73
Brooklyn,Nostrand Playground,38954,0,3.02
Manhattan,Nyc Aids Memorial Park At St. Vincent?S Triangle,166,0,0.38
Bronx,O'Brien Oval,6825,0,0.23
Bronx,O'Neill Triangle,5031,0,0.64
Queens,O'sullivan Plaza,1437,0,0.03
Queens,Oakland Gardens,9229,0,1.17
Manhattan,Oasis Garden,0,0,0.12
Staten Island,Ocean Breeze Park,124053,0,136.57
Brooklyn,Ocean Hill Playground,17781,0,1.6
Brooklyn,Ocean Parkway Malls,104370,0,140.
Bronx,Ogden Plimpton Playground,7724,0,0.23
Manhattan,Old Croton Aqueduct Gatehouse,551,0,0.15
Brooklyn,Old Gravesend Cemetery,68462,0,1.65
Staten Island,Old Place Creek Park,0,0,44.73
Staten Island,Old Town Playground,20736,0,1.53
Staten Island,Olmsted-Beil House Park,287,0,1.58
Queens,One Room Schoolhouse Park,1047,0,0.14
Brooklyn,Oracle Playground,30070,0,0.7
Manhattan,Orchard Alley Garden,117,0,0.22
Brooklyn,Orient Grove,2444,0,0.15
Brooklyn,Osborn Playground,17086,0,1.9
Manhattan,Our Little Green Acre/Garden Eight,0,0,0.05
Queens,Overlook Park,6517,0,2.33
Bronx,Owen F. Dolen Park,11453,0,1.4
Brooklyn,Owl's Head Park,123889,0,24.22
Brooklyn,Oxport Playground,6261,0,1.03
Brooklyn,P.O. Reinaldo Salgado Playground,44328,0,2.29
Bronx,P.O. Serrano Playground,37550,0,2.62
Brooklyn,P.S. 125 Playground,10348,0,0.21
Brooklyn,P.S. 149 Artsy Bloom Community Garden,0,0,0.06
Manhattan,P.S. 155 Playground,55490,0,0.83
Bronx,P.S. 186 Day Treatment Program,0,0,0.07
Brooklyn,P.S. 279 Playground,5420,0,0.23
Bronx,P.S. 29 Ballfield,6805,0,1.11
Brooklyn,P.S. 4 Paradise Garden,0,0,0.3
Brooklyn,P.S. 53,0,0,0.06
Manhattan,P.S. 76 Garden,0,0,0.05
Bronx,Padre Plaza,0,0,0.37
Brooklyn,Paerdegat Basin Park,3856,0,118.8
Brooklyn,Paerdegat Park,37590,0,3.56
Brooklyn,Pagan's Garden,0,0,0.08
Bronx,Palmer Inlet,0,0,7.49
Brooklyn,Parade Ground,109015,0,39.5
Staten Island,Park,18343,0,5.77
Brooklyn,Park,18304,0,0.09
Brooklyn,Park,9270,0,0.74
Brooklyn,Park,8859,0,0.28
Brooklyn,Park,3731,0,0.06
Brooklyn,Park,3621,0,0.21
Bronx,Park,3121,0,0.14
Bronx,Park,2938,0,0.06
Bronx,Park,2845,0,0.5
Bronx,Park,2748,0,0.9
Brooklyn,Park,2469,0,0.1
Bronx,Park,1953,0,0.51
Bronx,Park,1901,0,6.79
Brooklyn,Park,1742,0,0.31
Brooklyn,Park,1720,0,0.12
Brooklyn,Park,1547,0,0.44
Queens,Park,1527,0,0.03
Manhattan,Park,1495,0,0.03
Staten Island,Park,1482,0,0.74
Brooklyn,Park,1443,0,0.
Brooklyn,Park,1403,0,0.
Bronx,Park,1391,0,0.06
Brooklyn,Park,1248,0,0.06
Bronx,Park,1233,0,0.04
Bronx,Park,1183,0,0.03
Bronx,Park,1132,0,0.06
Bronx,Park,1092,0,0.03
Bronx,Park,1006,0,0.09
Bronx,Park,793,0,0.08
Queens,Park,728,0,0.14
Brooklyn,Park,689,0,0.01
Brooklyn,Park,585,0,1.08
Bronx,Park,546,0,0.29
Bronx,Park,511,0,0.76
Bronx,Park,442,0,0.03
Staten Island,Park,391,0,0.55
Brooklyn,Park,377,0,0.01
Brooklyn,Park,364,0,0.
Bronx,Park,358,0,0.15
Staten Island,Park,338,0,5.85
Queens,Park,195,0,0.01
Queens,Park,156,0,0.02
Staten Island,Park,143,0,1.18
Brooklyn,Park,117,0,0.11
Staten Island,Park,117,0,0.05
Staten Island,Park,104,0,0.18
Queens,Park,60,0,1.14
Queens,Park,39,0,0.
Queens,Park,28,0,0.7
Queens,Park,26,0,0.08
Queens,Park,0,0,3.81
Staten Island,Park,0,0,2.36
Manhattan,Park,0,0,2.13
Manhattan,Park,0,0,1.49
Brooklyn,Park,0,0,1.35
Queens,Park,0,0,1.23
Brooklyn,Park,0,0,1.18
Bronx,Park,0,0,1.13
Brooklyn,Park,0,0,0.98
Brooklyn,Park,0,0,0.96
Bronx,Park,0,0,0.59
Brooklyn,Park,0,0,0.59
Queens,Park,0,0,0.32
Manhattan,Park,0,0,0.19
Bronx,Park,0,0,0.17
Brooklyn,Park,0,0,0.16
Bronx,Park,0,0,0.15
Staten Island,Park,0,0,0.11
Bronx,Park,0,0,0.1
Staten Island,Park,0,0,0.07
Brooklyn,Park,0,0,0.06
Bronx,Park,0,0,0.05
Brooklyn,Park,0,0,0.05
Bronx,Park,0,0,0.04
Bronx,Park,0,0,0.04
Bronx,Park,0,0,0.03
Bronx,Park,0,0,0.03
Bronx,Park,0,0,0.03
Bronx,Park,0,0,0.03
Bronx,Park,0,0,0.03
Queens,Park,0,0,0.03
Bronx,Park,0,0,0.02
Bronx,Park,0,0,0.02
Bronx,Park,0,0,0.02
Bronx,Park,0,0,0.02
Queens,Park,0,0,0.02
Queens,Park,0,0,0.02
Queens,Park,0,0,0.02
Queens,Park,0,0,0.02
Queens,Park,0,0,0.02
Bronx,Park,0,0,0.01
Bronx,Park,0,0,0.01
Bronx,Park,0,0,0.01
Bronx,Park,0,0,0.01
Brooklyn,Park,0,0,0.01
Brooklyn,Park,0,0,0.01
Queens,Park,0,0,0.01
Queens,Park,0,0,0.01
Queens,Park,0,0,0.01
Queens,Park,0,0,0.01
Queens,Park,0,0,0.01
Queens,Park,0,0,0.01
Queens,Park,0,0,0.01
Staten Island,Park,0,0,0.01
Staten Island,Park,0,0,0.01
Brooklyn,Park,0,0,0.
Brooklyn,Park,0,0,0.
Brooklyn,Park,0,0,0.
Brooklyn,Park,0,0,0.
Brooklyn,Park,0,0,0.
Queens,Park,0,0,0.
Queens,Park,0,0,0.
Queens,Park,0,0,0.
Queens,Park,0,0,0.
Queens,Park,0,0,0.
Queens,Park,0,0,0.
Queens,Park At Beach 108 Street,1185,0,13.83
Manhattan,Park Avenue Malls,6136,0,4.62
Manhattan,Park Avenue Malls,3272,0,0.65
Manhattan,Park Avenue Malls,1417,0,1.32
Queens,Park Of The Americas,70617,0,3.08
Queens,Park Slope,0,0,0.01
Brooklyn,Park Slope Playground,43615,0,0.96
Manhattan,Parks Council Success Garden,0,0,0.25
Bronx,Parkside Playground,16602,0,0.82
Queens,Pat Williams Playground,4809,0,0.51
Brooklyn,Patchen Community Square Garden,0,0,0.1
Queens,Patricia A. Brackley Park,1582,0,0.16
Brooklyn,Patrick O'Rourke Playground,12808,0,1.23
Brooklyn,Patrick Van Doren Pocket Park,0,0,0.04
Bronx,Patterson Playground,15109,0,2.37
Queens,Paul Raimonda Playground,10676,0,1.31
Bronx,Peace Park,5581,0,0.14
Manhattan,Peaceful Valley Garden,4,0,0.05
Manhattan,Peachtree Garden,199,0,0.12
Manhattan,Pearl St Playground,6251,0,0.16
Manhattan,Peck Slip,1339,0,0.19
Bronx,Pelham Bay Little League,2331,0,1.26
Bronx,Pelham Bay Park,722513,0,2771.75
Bronx,Pelham Parkway,35313,0,108.91
Brooklyn,Pena Herrera Playground,42140,0,0.74
Manhattan,Penn SouthPlayground,9986,0,0.6
Brooklyn,Penn Triangle,5829,0,0.18
Bronx,People's Park,13793,0,1.39
Manhattan,Peretz Square,3102,0,0.19
Queens,Peter Chahales Park,15457,0,0.07
Manhattan,Peter Detmold Park,8390,0,0.59
Manhattan,Peter Minuit Playground,16927,0,0.94
Queens,Peters Field,25068,0,2.87
Manhattan,Petrosino Square,5202,0,0.05
Brooklyn,Pfc Norton Playground,23172,0,0.55
Queens,"Phil ""Scooter"" Rizzuto Park",84056,0,4.35
Bronx,Phyllis Post Goodman Park,728,0,0.5
Manhattan,Pier 107 Cvii,8138,0,0.36
Manhattan,Pier 42,0,0,7.23
Brooklyn,Pierrepont Playground,31054,0,0.5
Queens,Pigeon Paradise,22211,0,0.07
Brooklyn,Pink Playground,25381,0,1.
Queens,Pinocchio Playground,4508,0,0.89
Brooklyn,Pirates Cove Garden,0,0,0.03
Queens,Planeview Park,3040,0,1.04
Queens,Plaut Triangle,1810,0,0.25
Manhattan,Playground 103 Ciii,6009,0,1.05
Queens,Playground 115,1184,0,0.29
Bronx,Playground 174,27518,0,1.
Brooklyn,Playground 286,24151,0,0.87
Bronx,Playground 52 Lii,9883,0,1.79
Queens,Playground Eighty Lxxx,10660,0,1.35
Manhattan,Playground Eighty Nine Lxxxix,10844,0,0.4
Queens,Playground Ninety,22256,0,1.25
Manhattan,Playground Of The Americas,5414,0,0.08
Manhattan,Playground One,5482,0,0.44
Queens,Playground One Forty,8310,0,1.37
Bronx,Playground One Thirty Four Cxxxiv,7548,0,1.95
Manhattan,Playground One Twenty Five Cxxv,11254,0,1.69
Queens,Playground Seventy Five,17725,0,0.75
Queens,Playground Sixty Two Lxii,25192,0,1.48
Queens,Playground Thirty Five Xxxv,6073,0,0.22
Queens,Playground Twenty One,3872,0,1.44
Manhattan,Plaza Lafayette,1781,0,0.09
Manhattan,Pleasant Park Garden,0,0,0.12
Staten Island,Pleasant Plains Plaza,52,0,0.05
Manhattan,Pleasant Village Community Garden,0,0,0.38
Bronx,Plimpton Playground,12341,0,1.
Bronx,Poe Park,58876,0,2.33
Queens,Police Officer Edward Byrne Park,74787,0,4.97
Queens,Police Officer Nicholas Demutiis Park,41468,0,1.15
Queens,Pomonok Playground,34889,0,3.6
Brooklyn,Ponderosa Garden,0,0,0.19
Bronx,Pontiac Playground,10931,0,0.91
Manhattan,Poor Richard's Playground,50129,0,1.58
Queens,Poppenhusen Park,1359,0,0.05
Queens,Poppenhusen Playground,14255,0,1.14
Brooklyn,Poseidon Playground,19348,0,2.94
Brooklyn,Positive Seeds Of Life Garden,0,0,0.11
Brooklyn,Potomac Playground,28936,0,1.32
Brooklyn,Powell Playground,7660,0,1.02
Brooklyn,Powell Street Livonia Garden,0,0,0.46
Queens,Powell's Cove Park,10088,0,55.02
Brooklyn,Power Playground,8994,0,2.3
Staten Island,Prall Playground,9626,0,1.31
Staten Island,Pralls Island,0,0,107.51
Brooklyn,Pratt Playground,48189,0,0.92
Brooklyn,President Street Garden,0,0,0.05
Brooklyn,Preston Community Garden,0,0,0.06
Bronx,Printers Park,13348,0,1.34
Queens,Private William Gray Playground,2578,0,0.07
Queens,Proctor-Hopson Circle,1001,0,0.13
Queens,Project Eden,234,0,0.11
Brooklyn,Project Roots,142,0,0.17
Brooklyn,Prophecy Garden,611,0,0.09
Queens,Prospect Cemetery,260,0,3.5
Brooklyn,Prospect Park,1173653,1942874,540.51
Bronx,Prospect Playground,4532,0,1.44
Brooklyn,Public Place,6359,0,0.11
Manhattan,Pueble Unido Garden,0,0,0.05
Bronx,Pugsley Creek Park,22793,0,83.62
Bronx,Pulaski Park,9239,0,1.45
Brooklyn,Pulaski Playground,22609,0,1.42
Brooklyn,Purple Playground,8878,0,0.71
Brooklyn,Pvt. Sonsire Triangle,28652,0,0.04
Brooklyn,Quaker Parrot Park At The Dust Bowl,14769,0,1.65
Bronx,Quarry Ballfields,30949,0,4.42
Queens,Queens Farm Park,3982,0,47.08
Queens,Queens Valley Playground,12552,0,0.88
Queens,Queens Village Veterans Plaza,4482,0,0.32
Manhattan,Queensboro Oval,4629,0,1.24
Queens,Queensbridge Park,120887,5500,20.34
Queens,Quick Brown Fox Triangle,403,0,0.07
Queens,Rafferty Triangle,2661,0,0.1
Bronx,Railroad Park (Bronx),13117,0,0.73
Queens,Railroad Park (Queens),8536,0,16.44
Brooklyn,Railroad Playground,29912,0,2.3
Bronx,Rainbow Garden,0,0,0.17
Brooklyn,Rainbow Playground,16468,0,0.46
Queens,Rainey Park (Queens),24549,0,8.09
Manhattan,Ralph Bunche Park,10252,0,0.42
Queens,Ralph Demarco Park,10402,0,5.82
Manhattan,Ramon Aponte Park,5410,0,0.17
Bronx,Ranaqua Playground,6951,0,0.97
Bronx,Randall Playground,8174,0,1.
Manhattan,Randall's Island Park,358809,0,256.11
Bronx,Raoul Wallenberg Forest,3722,0,4.73
Brooklyn,Rappaport Playground,23300,0,1.15
Queens,Ravenswood Playground,18340,0,2.76
Brooklyn,Raymond Bush Playground,50690,0,1.8
Queens,Real Good Playground,45559,0,1.6
Manhattan,Recreation Center 54,1625,0,0.17
Brooklyn,Red Gate Garden,0,0,0.1
Brooklyn,Red Hook Recreation Area,190519,0,58.5
Brooklyn,Red Shed Garden,0,0,0.12
Queens,Redfern Playground,84979,0,2.09
Queens,Reiff Playground,27987,0,1.53
Queens,Remsen Family Cemetery,1900,0,0.25
Brooklyn,Remsen Playground,10048,0,1.33
Manhattan,Renaissance Playground,42955,0,1.34
Bronx,Rev J Polite Playground,15178,0,1.82
Bronx,Rev Lena Irons Unity Park,8073,0,0.34
Manhattan,Rev. Linnette C Williamson Memorial Park,0,0,0.11
Manhattan,Richard Tucker Park,925,0,0.05
Bronx,Richman (Echo) Park,38427,0,4.39
Staten Island,Richmond Parkway,225527,0,1884.95
Staten Island,Richmond Terrace Cemetery,0,0,0.12
Staten Island,Richmond Terrace Storehouse,0,0,0.96
Staten Island,Richmond Terrace Wetlands,5226,0,11.19
Bronx,Rienzi Playground,20777,0,1.23
Bronx,Risse Street Park,6111,0,0.81
Bronx,Rita Ley Triangle,2907,0,0.12
Bronx,River Avenue Parks,27064,0,0.67
Bronx,River Garden,208,0,0.44
Bronx,Riverbend Playground,9605,0,0.64
Bronx,Riverdale Park,2874,0,144.29
Bronx,Riverdale Playground,9487,0,2.58
Manhattan,Riverside Park,724119,1370333,260.44
Manhattan,Riverside Park South,85284,195201,66.69
Brooklyn,Robert E. Venable Park,48681,0,2.94
Manhattan,Robert L. Clinkscales Playground And Community Garden,15702,0,0.44
Manhattan,Robert Moses Playground,11679,0,1.09
Brooklyn,Roberto Clemente Ballfield,7575,0,1.93
Queens,Rochdale Park,61379,0,8.83
Bronx,Rock Garden Park,21744,0,0.98
Queens,Rockaway Beach And Boardwalk,401476,0,1098.91
Queens,Rockaway Community Park,15255,0,255.4
Queens,Rockaway Freeway,11125,0,9.4
Queens,Rockaway Garage,20375,0,1.29
Queens,Rocket Playground,20447,0,1.05
Brooklyn,Rodney Park Center,7919,0,0.24
Brooklyn,Rodney Park North,8766,0,0.37
Brooklyn,Rodney Park South,11487,0,0.39
Brooklyn,Rodney Playground Center,10713,0,0.19
Brooklyn,Rodney Playground North,18612,0,0.29
Brooklyn,Rodney Playground South,14534,0,0.32
Brooklyn,Roebling Playground,33142,0,1.23
Manhattan,Roger Morris Park,18219,0,1.52
Brooklyn,Rolph Henry Playground,29607,0,0.21
Manhattan,Roosevelt Triangle,5536,0,0.07
Queens,Rory Staunton Field,7113,0,0.57
Bronx,Rose Hill Park,23139,0,0.75
Queens,Rosemary's Playground,29597,0,1.97
Queens,Roy Wilkins Recreation Center,87689,0,60.35
Brooklyn,Rudd Playground,15453,0,1.28
Queens,Rufus King Park,101022,0,11.5
Queens,Ruoff Triangle,1482,0,0.05
Manhattan,Ruppert Park,13777,0,1.
Brooklyn,Russell Pedersen Playground,31305,0,1.37
Queens,Russell Sage Playground,31896,0,1.53
Bronx,Ryan Triangle,3171,0,0.22
Queens,Sabba Park,3984,0,0.47
Manhattan,Sakura Park,4466,13331,2.07
Brooklyn,Sam Leggio Triangle,455,0,0.01
Brooklyn,Samuel Goldberg Triangle,1196,0,0.02
Bronx,Samuel H. Young Park,958,0,1.29
Manhattan,Samuel Marx Triangle,3432,0,0.03
Manhattan,Samuel N. Bennerson 2nd Playground,8247,0,0.75
Manhattan,Samuel Seabury Playground,95204,0,0.79
Brooklyn,Santos White Garden,0,0,0.14
Manhattan,Sara D. Roosevelt Park,121595,44000,7.85
Brooklyn,Saratoga Blake Garden,0,0,0.1
Brooklyn,Saratoga Park,62831,0,3.21
Brooklyn,"Saratoga Square Urban Renewal Area, Site 164",403,0,0.48
Brooklyn,Sarsfield Playground,19294,0,0.58
Queens,Saul Weprin Playground,9544,0,1.96
Staten Island,Saw Mill Creek Marsh,247,0,178.47
Bronx,Saw Mill Playground,3614,0,0.92
Brooklyn,Scarangella Park,17148,0,3.21
Brooklyn,Schenck Playground,16031,0,0.85
Manhattan,Schiff Mall,834,0,0.38
Staten Island,Schmul Park,51084,0,7.4
Bronx,Schneider Sampson Square,1348,0,0.09
Bronx,Schomberg Academy Garden,0,0,0.03
Bronx,Seabury Playground,5473,0,0.19
Queens,Seagirt Ave Wetlands,169,0,5.32
Queens,Sean's Place,9269,0,0.58
Queens,Seaside Playground,84234,0,1.14
Staten Island,Seaside Wildlife Nature Park,8964,0,20.91
Bronx,Sedgwick Playground,6773,0,1.05
Brooklyn,Seeley Park,8977,0,0.36
Manhattan,Septuagesimo Uno,14313,0,0.04
Queens,Sergeant Collins Triangle,6840,0,0.12
Queens,Sergeant Colyer Square,4832,0,0.1
Bronx,Sergeant Johnson Triangle,2045,0,0.74
Brooklyn,SethLow Playground/ Bealin Square,103878,0,4.95
Bronx,Seton Falls Park,24979,2000,35.77
Bronx,Seton Park,24919,0,11.69
Queens,Seven Gables Playground,4140,0,1.3
Manhattan,Seward Park,36053,2500,3.36
Brooklyn,Sgt. Joyce Kilmer Triangle,1560,0,0.
Brooklyn,Sgt. William Dougherty Playground,4932,0,0.76
Brooklyn,Sh'Ma Yisrael,0,0,0.15
Brooklyn,Sheepshead Bay Piers,8716,0,1.22
Brooklyn,Sheepshead Playground,22747,0,2.09
Manhattan,Sheltering Arms Playground,121446,0,1.43
Manhattan,Sheridan Square Viewing Garden,822,0,0.07
Bronx,Sheridan Triangle,1484,0,0.06
Manhattan,Sherman Creek,19494,0,15.38
Manhattan,Sherman Square,14024,0,0.07
Queens,Sherry Dog Run,1389,0,0.35
Brooklyn,Shield Of Faith,0,0,0.17
Brooklyn,Shiloh Garden,0,0,0.07
Staten Island,Shooters Island,0,0,34.69
Brooklyn,Shore Park And Parkway,140041,0,58.
Queens,Short Triangle,1391,0,0.01
Manhattan,Sidney Hillman Playground,3104,0,0.25
Staten Island,Siedenburg Park,4841,0,22.88
Manhattan,Siempre Verde Garden,0,0,0.06
Staten Island,Silver Lake Park,170185,0,205.98
Queens,Simeone Park,5782,0,1.78
Bronx,Siren Slope,3419,0,0.28
Queens,Sitting Area,5468,0,1.16
Brooklyn,Sitting Area,4342,0,0.93
Queens,Sitting Area,602,0,0.05
Queens,Sitting Area,494,0,0.09
Queens,Sitting Area 127 Cxxvii,674,0,0.17
Brooklyn,Sixteen Lindens Triangle,728,0,0.49
Queens,Sixteen Oaks Grove,2234,0,0.22
Brooklyn,Sixteen Sycamores Playground,38728,0,0.57
Staten Island,Skyline Playground,14421,0,2.06
Bronx,Slattery Playground,12647,0,0.91
Brooklyn,Sledge Playground,5385,0,0.33
Staten Island,Sleight Family Graveyard,0,0,0.23
Brooklyn,Slope Park Playground,19464,0,0.69
Staten Island,Snug Harbor Cultural Center,5973,0,83.3
Staten Island,Sobel Court Park,6013,0,1.14
Brooklyn,Sobel Playground,12629,0,0.14
Queens,Socrates Sculpture Park,3084,0,4.89
Queens,Sohncke Square,4432,0,0.04
Manhattan,Sol Bloom Playground,46481,0,0.84
Manhattan,Sol Lain Plgd,6736,0,0.89
Manhattan,Sophie Irene Loeb,3187,0,0.12
Queens,Sorrentino Recreation Center,7718,0,0.23
Bronx,Soundview Park,88617,0,205.31
Staten Island,SouthBeach Wetlands,689,0,5.19
Brooklyn,SouthBrooklyn Children's Garden,0,0,0.08
Bronx,SouthBrother Island,0,0,21.11
Staten Island,SouthClove Road Cemetery,806,0,0.3
Queens,Southern Fields,9995,0,5.59
Queens,SouthGate Mall,742,0,0.15
Brooklyn,SouthOxford Park,5468,0,1.19
Brooklyn,SouthPacific Playground,14840,0,2.26
Queens,SouthRochdale Playground,8521,0,0.94
Staten Island,SouthShore Country Club,13,0,173.99
Queens,Southside Burial Ground,6310,0,0.23
Bronx,Space Time Playground,29196,0,1.28
Queens,Spargo Park,429,0,0.38
Queens,Sparrow's Nest Community Garden,1941,0,0.21
Brooklyn,Spencer St Block Association,0,0,0.04
Brooklyn,Sperandeo Brothers Playground,49493,0,2.8
Queens,Spirit Playground,17059,0,0.79
Staten Island,Sports Park,30,0,4.65
Brooklyn,Spring Creek Park,5610,0,54.78
Queens,Spring Creek Park,5610,0,54.78
Brooklyn,Spring Creek Park,3020,0,42.58
Brooklyn,Spring Creek Park,0,0,2.2
Brooklyn,Spring Creek Park Addition,507,0,57.92
Queens,Spring Creek Park Addition,507,0,57.92
Queens,Springfield Park,51683,0,23.54
Queens,Springfield Park North,25809,0,1.05
Bronx,Spuyten Duyvil Playground,14294,0,1.51
Brooklyn,Squibb Park,143,0,0.63
Queens,St. Albans Park,52424,0,10.79
Brooklyn,St. Andrew's Playground,59184,0,3.38
Bronx,St. Ann's Block Association Garden,0,0,0.03
Manhattan,St. Catherine's Park,70871,0,1.38
Staten Island,St. George Park,52,0,0.09
Manhattan,St. Gregory's Playground,9870,0,0.23
Bronx,St. James Park,79959,0,11.39
Manhattan,St. James Triangle,2509,0,0.04
Brooklyn,St. John Cantius Parish,0,0,0.18
Brooklyn,St. John's Park,72857,0,9.34
Bronx,St. Lawrence Triangle,2582,0,0.14
Brooklyn,St. Mark's Block Association,0,0,0.21
Manhattan,St. Mark's Garden,0,0,0.1
Bronx,St. Mary's Park (Bronx),110849,3500,35.31
Brooklyn,St. Mary's Park,3316,3500,0.37
Brooklyn,St. Mary's Park,3104,3500,0.35
Queens,St. Michael's Park,17092,0,3.4
Queens,St. Michael's Playground,33982,0,5.43
Brooklyn,St. Nicholas - Olive St. Garden,0,0,0.09
Brooklyn,St. Nicholas - Powers St. Garden,0,0,0.12
Manhattan,St. Nicholas Miracle Garden,0,0,0.04
Manhattan,St. Nicholas Park,134684,0,22.74
Manhattan,St. Nicholas Playground North,18944,0,0.66
Manhattan,St. Nicholas Playground South,25898,0,0.67
Manhattan,St. Vartan Park,75908,0,2.76
Staten Island,Staats Circle,2617,0,0.28
Manhattan,Stanley Isaacs Playground,96324,0,1.23
Staten Island,Stapleton Esplanade,5239,0,2.58
Staten Island,Stapleton Playground,21806,0,4.1
Brooklyn,Star Spangled Playground,40006,0,1.69
Bronx,Starlight Park,29325,0,14.4
Queens,Starr Playground,8231,0,0.9
Bronx,Stars & Stripes Playground,22633,0,2.65
Brooklyn,Stars Of Hope,0,0,0.03
Staten Island,Staten Island Industrial Park,208,0,210.93
Bronx,Stebbins Playground,7062,0,0.83
Brooklyn,Steeplechase Park,7017,0,10.01
Queens,Steinmann Triangle,3674,0,0.21
Queens,Steinway Playground,7850,0,0.81
Brooklyn,Sterling Community Group,0,0,0.12
Brooklyn,Sternberg Park,79472,0,4.04
Brooklyn,Steuben Playground,7404,0,1.17
Brooklyn,Stockton Playground,13621,0,1.09
Bronx,Stop & Go Playground,2211,0,0.32
Bronx,Story Playground,28160,0,2.08
Manhattan,Straus Park,11318,0,0.07
Manhattan,Straus Square,3725,0,0.12
Queens,Strippoli Square,1106,0,0.06
Brooklyn,Stroud Playground,10743,0,1.19
Brooklyn,Student Farm Project,0,0,0.17
Queens,Studley Triangle,435,0,0.02
Manhattan,Stuyvesant Square,75675,0,3.93
Brooklyn,Success Garden,3975,0,0.92
Manhattan,Sugar Hill Garden,0,0,0.07
Brooklyn,Summit Street Community Garden,0,0,0.1
Brooklyn,Sumner Playground,5494,0,1.97
Brooklyn,Sumpter Community Garden,0,0,0.06
Brooklyn,Sunners Playground,11843,0,0.2
Queens,Sunrise Playground,3668,0,1.03
Queens,Sunset Cove Park,98,0,9.38
Brooklyn,Sunset Park,123099,1000,24.5
Brooklyn,Sunshine Community Garden,0,0,0.12
Manhattan,Sunshine Playground,17802,0,0.24
